fen,trait,en_passant,roque,cp
rnbqkb1r/ppp2ppp/8/3pN3/2B1n3/8/PPPP1PPP/RNBQK2R,1,1,0,-40
rn1qk2r/pbppppbp/1p3np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1,0,1,0,42
r1bq1rk1/ppp2ppp/1N3n2/3pp3/1PBnP3/P2P4/1BP2PPP/R2QK1NR,0,1,0,-46
r1bq1rk1/pppp1ppp/1b3n2/4p3/1PBnP3/P1NP4/1BP2PPP/R2QK1NR,1,1,0,-50
8/8/8/8/2n5/k7/2p5/KB6,0,0,0,-3
2b5/ppN3pr/6kp/3p4/2n2R2/8/P4PPP/R3B1K1,0,0,0,592
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R,0,1,0,11
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR,1,1,0,17
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,0,1,0,16
3r4/4Rbk1/3P4/pB3p2/5P1p/P7/1P3KP1/8,0,0,0,494
4Q3/Pq4pk/5p1p/5P1K/6PP/8/8/8,1,0,0,12
r1bqkb1r/1p3ppp/p1n1pn2/2p5/P1BP4/4PN2/1P3PPP/RNBQ1RK1,1,1,0,6
rnbqkb1r/pp1ppppp/5n2/2P5/2P5/8/PP2PPPP/RNBQKBNR,0,1,0,0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR,1,1,0,14
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2K2PP/RN3Q2,0,0,0,-417
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P3Q1PP/RNr1KR2,1,1,0,-417
r1bqk2r/ppp2ppp/2n1pn2/3p4/QbPP4/2N2N2/PP1BPPPP/R3KB1R,0,1,0,0
8/8/8/8/5Q2/4K3/8/6k1,0,0,0,3
r1b2rk1/p4ppp/1pn2q2/3pN3/3P4/8/PP3PPP/R1BQR1K1,0,0,0,0
R4nk1/6p1/8/P4Nb1/2p5/5p2/8/5K2,0,0,0,675
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R,1,1,0,9
r3kb1r/2qbpppp/p1p2n2/2PpN3/Q2P4/8/PP3PPP/RNB1K2R,1,1,0,82
4qrk1/4npp1/4b2p/b2p4/2pP2P1/p1P2QB1/P1B2PP1/1R3NK1,1,0,0,88
rnbqkbnr/pp2pppp/3p4/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR,0,1,0,4
rn1r2k1/ppp2ppp/3q1n2/4b1B1/4P1b1/1BP1Q3/PP3PPP/RN2K1NR,0,1,0,-2
r4rk1/1b4pp/2pR4/1p2q3/nP2P3/6P1/1N2Q1BP/3R2K1,1,0,0,21
k1B5/2K5/8/3N4/8/8/8/8,0,0,0,3
4k3/8/8/8/8/8/8/4KBN1,1,0,0,28
2k3r1/3r4/p1R5/2pN1p2/2pP4/2P3P1/P2q1P1P/1R4K1,0,0,0,2
r3k3/1p2p3/p1n1pnpr/4p2p/7P/1NN5/PPP2PP1/2KR2R1,1,1,0,130
6k1/5pp1/6n1/6P1/2p3bp/R3b3/P1B1N1P1/5K2,0,0,0,232
2B5/k1K5/8/3N4/8/8/8/8,1,0,0,3
rnbqkb1r/p3pppp/2p2n2/1p6/P1pP4/4PN2/1P3PPP/RNBQKB1R,1,1,0,44
8/8/5pk1/6pp/3P4/1r4P1/3R1K1P/8,0,0,0,0
r2k2r1/pppb1p1p/2pn4/8/3B4/8/PPP2PPP/2KR1B1R,1,0,0,149
4k2r/pp3ppp/2qrpn2/3P4/5Q2/2PB3P/P4PP1/2R2RK1,0,0,0,-17
3r4/1p4k1/p1bPR3/5p2/2B2P1p/8/PP3KP1/8,0,0,0,296
r1b2rk1/1pp3bp/n2p1qp1/p1nPp3/2P1P3/2N1BN1P/PP2BP2/R2QK2R,1,1,0,18
r1bq1rk1/pp2bppp/2n1pn2/6B1/2BP4/2N2N2/PP3PPP/R2QK2R,1,1,0,-10
r2q1rk1/ppp3bp/n2p1n2/3P1b2/1PP1N3/1QN1B2P/P3BP2/2KR3R,1,0,0,260
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP2PPP/RNBQKBNR,1,1,0,-4
3k4/3P4/1p2K3/p7/P7/3r4/5p2/7R,0,0,0,-591
3r4/4Rb2/3P1k2/pB3p2/5P1p/P7/1P3KP1/8,1,0,0,494
8/8/8/8/5Q2/4K3/8/7k,1,0,0,3
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R,1,1,0,30
rnbqkb1r/ppp2ppp/3p4/8/4n3/3P1N2/PPP2PPP/RNBQKB1R,0,1,0,17
rnbqkb1r/pp2pppp/5n2/3p4/3P4/2N5/PP2PPPP/R1BQKBNR,1,1,0,26
r1bq1rk1/pppnppbp/3p1npB/8/3PP2P/5P2/PPPQ2P1/RN2KBNR,0,1,0,28
3rk2r/pp2bpp1/1np1p2p/1q2P2P/5P2/2P3N1/PP1BQ1P1/R4RK1,1,1,0,9
R4nk1/6p1/P7/5Nb1/8/5p2/2p5/5K2,1,0,0,487
r3r1k1/ppp2pbp/2n3p1/4Pb2/8/1NP2N2/PP3PPP/R1B1R1K1,0,0,0,-16
5rk1/3qnpp1/8/b2p2Pp/2pP1Bb1/p1P3Q1/P1B2PP1/1R3NK1,1,0,0,-23
1q2r1k1/5pbp/4pnp1/2NbN3/1p3QP1/1P5P/rBR3BK/3R4,0,0,0,-553
